title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
Điện Thoại Xiaomi POCO X3 NFC (6GB/128GB) - Hàng Chính Hãng,5179000,Yes,No,0,7104219861417,https://tiki.vn/dien-thoai-xiaomi-poco-x3-nfc-6gb-128gb-hang-chinh-hang-p73655906.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/20/db/8c/aa3b2c3a4c0813f79c3b3071c37f142c.jpg,No,,No,No,26
Điện thoại Vivo Y1S - Hàng chính hãng,2073700,Yes,No,28,5901322165369,https://tiki.vn/dien-thoai-vivo-y1s-hang-chinh-hang-p58444960.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/e0/57/6f377a45a456cda76c40bbd79b64a0a3.png,No,,No,No,23
AdĐiện Thoại Di Động Forme Gorilla  - Hàng Chính Hãng,299000,No,No,8,1630356159351,https://tiki.vn/dien-thoai-di-dong-forme-gorilla-hang-chinh-hang-p8820501.html?spid=9729320&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/1a/48/6c/37d360cad12ba127fa1eab2d9b863fd9.jpg,No,,No,No,17
Điện thoại Xiaomi Redmi Note 10 (6GB/128GB) - Hàng chính hãng - Xám,4779000,No,No,0,9412454480434,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-6gb-128gb-hang-chinh-hang-xam-p85137414.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/c5/71/75/1a6bcc3fb2d3449563c7d2a607f0a5a3.JPG,No,,No,No,13
Điện Thoại Oppo A12 (4GB/64GB) - Hàng Chính Hãng,2950000,Yes,No,45,3953343785493,https://tiki.vn/dien-thoai-oppo-a12-4gb-64gb-hang-chinh-hang-p53827217.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/77/56/ca/370d5b66b2c1743aec879479632f9459.jpg,Yes,,No,No,26
"AdMáy Tính Bảng Samsung Galaxy Tab A8 8"" T295 - Đã Kích Hoạt Bảo Hành - Hàng Chính Hãng",2990000,Yes,Yes,16,2148779508568,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-8-t295-2019-da-kich-hoat-bao-hanh-hang-chinh-hang-p23258088.html?spid=34114028&src=ss-ads,0,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,No,No,19
Máy Đọc Sách Kindle Paperwhite Gen 10 - Hàng Nhập Khẩu,2950000,Yes,No,216,1275670017019,https://tiki.vn/may-doc-sach-kindle-paperwhite-gen-10-2019-hang-nhap-khau-p40639597.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/09/43/67/0fad375f1bee9b1597256a326059e8bc.jpg,No,,No,No,31
Điện Thoại OPPO RENO 3 Pro (8GB/256GB) - Hàng Chính Hãng,6490000,Yes,No,49,5386138868374,https://tiki.vn/dien-thoai-oppo-reno-3-pro-8gb-256gb-hang-chinh-hang-p54028954.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/de/16/96/febcf3659e8b50f5d03fe5d43890d040.jpg,Yes,,Yes,No,57
Điện Thoại Samsung Galaxy S20 FE - Hàng Chính Hãng,14990000,Yes,No,371,2274128763323,https://tiki.vn/dien-thoai-samsung-galaxy-s20-fe-hang-chinh-hang-p68693081.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/14/8b/ba/29bd9f2e0707fc37cdb58d339ae81c90.jpg,Yes,,Yes,Yes,6
AdĐiện Thoại Nokia 215 4G - Hàng Chính Hãng,640000,No,No,2,2691759979859,https://tiki.vn/dien-thoai-nokia-215-4g-hang-chinh-hang-p72882726.html?spid=92567849&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/82/75/da/c8fdc7c380d4fb2e29c5e1c95195bb27.jpg,Yes,,No,No,15
Điện Thoại Vsmart Active 3 - Hàng Chính Hãng,3290000,No,No,184,8470073743241,https://tiki.vn/dien-thoai-vsmart-active-3-hang-chinh-hang-p46753117.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/e3/62/f1/ebf60b6c592974d72877b3b021bb58d8.jpg,No,,Yes,No,34
Điện Thoại Oppo A73 2020 (6GB/128GB) - Hàng Chính Hãng,4390000,No,No,0,1352270892899,https://tiki.vn/dien-thoai-oppo-a73-2020-6gb-128gb-hang-chinh-hang-p71159365.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/53/cc/55/70ef85135a153159ee8c1a1e80c88fff.jpg,Yes,,No,No,20
